LAT,LNG,HEADING,#MATCHES
51.4573495854,-2.60307647288,0,5
51.4573495854,-2.60307647288,20,5
51.4573495854,-2.60307647288,40,0
51.4573495854,-2.60307647288,60,0
51.4573495854,-2.60307647288,80,0
51.4573495854,-2.60307647288,100,6
51.4573495854,-2.60307647288,120,0
51.4573495854,-2.60307647288,140,1
51.4573495854,-2.60307647288,160,2
51.4573495854,-2.60307647288,180,3
51.4573495854,-2.60307647288,200,4
51.4573495854,-2.60307647288,220,0
51.4573495854,-2.60307647288,240,9
51.4573495854,-2.60307647288,260,0
51.4573495854,-2.60307647288,280,4
51.4573495854,-2.60307647288,300,4
51.4573495854,-2.60307647288,320,0
51.4573495854,-2.60307647288,340,0
51.4571998366,-2.60307647288,0,0
51.4571998366,-2.60307647288,20,0
51.4571998366,-2.60307647288,40,6
51.4571998366,-2.60307647288,60,6
51.4571998366,-2.60307647288,80,0
51.4571998366,-2.60307647288,100,5
51.4571998366,-2.60307647288,120,0
51.4571998366,-2.60307647288,140,0
51.4571998366,-2.60307647288,160,1
51.4571998366,-2.60307647288,180,0
51.4571998366,-2.60307647288,200,4
51.4571998366,-2.60307647288,220,4
51.4571998366,-2.60307647288,240,3
51.4571998366,-2.60307647288,260,1
51.4571998366,-2.60307647288,280,0
51.4571998366,-2.60307647288,300,2
51.4571998366,-2.60307647288,320,2
51.4571998366,-2.60307647288,340,4
51.4570500877,-2.60307647288,0,5
51.4570500877,-2.60307647288,20,0
51.4570500877,-2.60307647288,40,0
51.4570500877,-2.60307647288,60,6
51.4570500877,-2.60307647288,80,0
51.4570500877,-2.60307647288,100,0
51.4570500877,-2.60307647288,120,0
51.4570500877,-2.60307647288,140,0
51.4570500877,-2.60307647288,160,0
51.4570500877,-2.60307647288,180,4
51.4570500877,-2.60307647288,200,4
51.4570500877,-2.60307647288,220,0
51.4570500877,-2.60307647288,240,3
51.4570500877,-2.60307647288,260,3
51.4570500877,-2.60307647288,280,3
51.4570500877,-2.60307647288,300,2
51.4570500877,-2.60307647288,320,0
51.4570500877,-2.60307647288,340,0
51.4569003389,-2.60307647288,0,0
51.4569003389,-2.60307647288,20,6
51.4569003389,-2.60307647288,40,6
51.4569003389,-2.60307647288,60,0
51.4569003389,-2.60307647288,80,0
51.4569003389,-2.60307647288,100,0
51.4569003389,-2.60307647288,120,0
51.4569003389,-2.60307647288,140,0
51.4569003389,-2.60307647288,160,3
51.4569003389,-2.60307647288,180,5
51.4569003389,-2.60307647288,200,5
51.4569003389,-2.60307647288,220,6
51.4569003389,-2.60307647288,240,0
51.4569003389,-2.60307647288,260,4
51.4569003389,-2.60307647288,280,4
51.4569003389,-2.60307647288,300,4
51.4569003389,-2.60307647288,320,4
51.4569003389,-2.60307647288,340,3
51.4567505901,-2.60307647288,0,0
51.4567505901,-2.60307647288,20,0
51.4567505901,-2.60307647288,40,0
51.4567505901,-2.60307647288,60,6
51.4567505901,-2.60307647288,80,0
51.4567505901,-2.60307647288,100,0
51.4567505901,-2.60307647288,120,0
51.4567505901,-2.60307647288,140,5
51.4567505901,-2.60307647288,160,4
51.4567505901,-2.60307647288,180,0
51.4567505901,-2.60307647288,200,0
51.4567505901,-2.60307647288,220,7
51.4567505901,-2.60307647288,240,0
51.4567505901,-2.60307647288,260,0
51.4567505901,-2.60307647288,280,0
51.4567505901,-2.60307647288,300,4
51.4567505901,-2.60307647288,320,2
51.4567505901,-2.60307647288,340,2
51.4566008412,-2.60307647288,0,0
51.4566008412,-2.60307647288,20,0
51.4566008412,-2.60307647288,40,0
51.4566008412,-2.60307647288,60,0
51.4566008412,-2.60307647288,80,0
51.4566008412,-2.60307647288,100,5
51.4566008412,-2.60307647288,120,4
51.4566008412,-2.60307647288,140,3
51.4566008412,-2.60307647288,160,2
51.4566008412,-2.60307647288,180,0
51.4566008412,-2.60307647288,200,0
51.4566008412,-2.60307647288,220,0
51.4566008412,-2.60307647288,240,0
51.4566008412,-2.60307647288,260,0
51.4566008412,-2.60307647288,280,5
51.4566008412,-2.60307647288,300,3
51.4566008412,-2.60307647288,320,0
51.4566008412,-2.60307647288,340,0
51.4564510924,-2.60307647288,0,6
51.4564510924,-2.60307647288,20,6
51.4564510924,-2.60307647288,40,0
51.4564510924,-2.60307647288,60,0
51.4564510924,-2.60307647288,80,0
51.4564510924,-2.60307647288,100,0
51.4564510924,-2.60307647288,120,0
51.4564510924,-2.60307647288,140,2
51.4564510924,-2.60307647288,160,2
51.4564510924,-2.60307647288,180,1
51.4564510924,-2.60307647288,200,7
51.4564510924,-2.60307647288,220,3
51.4564510924,-2.60307647288,240,2
51.4564510924,-2.60307647288,260,6
51.4564510924,-2.60307647288,280,0
51.4564510924,-2.60307647288,300,0
51.4564510924,-2.60307647288,320,5
51.4564510924,-2.60307647288,340,4
51.4563013436,-2.60307647288,0,0
51.4563013436,-2.60307647288,20,0
51.4563013436,-2.60307647288,40,0
51.4563013436,-2.60307647288,60,6
51.4563013436,-2.60307647288,80,4
51.4563013436,-2.60307647288,100,4
51.4563013436,-2.60307647288,120,2
51.4563013436,-2.60307647288,140,2
51.4563013436,-2.60307647288,160,1
51.4563013436,-2.60307647288,180,0
51.4563013436,-2.60307647288,200,0
51.4563013436,-2.60307647288,220,4
51.4563013436,-2.60307647288,240,5
51.4563013436,-2.60307647288,260,5
51.4563013436,-2.60307647288,280,0
51.4563013436,-2.60307647288,300,0
51.4563013436,-2.60307647288,320,4
51.4563013436,-2.60307647288,340,3
51.4561515948,-2.60307647288,0,4
51.4561515948,-2.60307647288,20,5
51.4561515948,-2.60307647288,40,0
51.4561515948,-2.60307647288,60,5
51.4561515948,-2.60307647288,80,0
51.4561515948,-2.60307647288,100,2
51.4561515948,-2.60307647288,120,0
51.4561515948,-2.60307647288,140,1
51.4561515948,-2.60307647288,160,4
51.4561515948,-2.60307647288,180,4
51.4561515948,-2.60307647288,200,0
51.4561515948,-2.60307647288,220,4
51.4561515948,-2.60307647288,240,0
51.4561515948,-2.60307647288,260,1
51.4561515948,-2.60307647288,280,4
51.4561515948,-2.60307647288,300,5
51.4561515948,-2.60307647288,320,2
51.4561515948,-2.60307647288,340,0
51.4560018459,-2.60307647288,0,2
51.4560018459,-2.60307647288,20,0
51.4560018459,-2.60307647288,40,6
51.4560018459,-2.60307647288,60,0
51.4560018459,-2.60307647288,80,0
51.4560018459,-2.60307647288,100,0
51.4560018459,-2.60307647288,120,3
51.4560018459,-2.60307647288,140,4
51.4560018459,-2.60307647288,160,2
51.4560018459,-2.60307647288,180,5
51.4560018459,-2.60307647288,200,0
51.4560018459,-2.60307647288,220,0
51.4560018459,-2.60307647288,240,4
51.4560018459,-2.60307647288,260,4
51.4560018459,-2.60307647288,280,3
51.4560018459,-2.60307647288,300,2
51.4560018459,-2.60307647288,320,3
51.4560018459,-2.60307647288,340,0
